Land;Stadt;katergorie;Thema;Jahr;Unfälle;Unfälle mit Personenschäden;Getoetete Personen;Verletzte;Fahrerfluchten;Alkoholeinfluss
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1989;8570;1479;9;1796;1863;363
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1990;9253;1573;3;1915;1882;372
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1991;8578;1418;13;1767;1917;372
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1992;8018;1451;9;1818;1869;310
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1994;8145;1424;8;1729;1750;284
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1995;6927;1371;11;1705;1764;226
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1996;6892;1272;9;1652;1682;262
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1997;6604;k.A.;12;1729;1753;253
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1998;6346;1243;5;1590;1570;182
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;1999;6350;1297;5;1645;1768;208
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2000;6058;1187;5;1471;1581;180
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2001;5611;1206;10;1494;1500;204
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2002;5609;1249;6;1570;1554;170
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2003;4812;1166;9;1459;1605;182
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2004;5337;1095;5;1318;1461;160
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2005;4896;1077;1;1282;1440;162
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2006;5092;1065;5;1326;1645;140
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2007;5347;1132;7;1445;1722;155
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2008;5636;1052;7;1312;1780;135
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2009;6222;1032;3;1285;1795;131
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2010;6610;917;2;1137;1974;111
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2011;6706;1011;5;1256;1962;111
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2012;7265;1017;1;1242;1970;97
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2013;7502;1042;4;1328;1945;87
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2014;8276;1199;7;1505;2164;95
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2015;8741;1158;6;1461;2327;91
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2016;8860;1169;3;1453;2344;93
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2017;9184;1124;1;1442;2263;92
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2018;9447;1111;2;1363;2493;122
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2019;9609;1094;3;1312;2737;87
de-sh;Kiel;gesetze_justiz;Strassenverkehrsunfaelle;2020;8083;1005;5;1208;2169;83
